Time,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,OT
2024-07-01 00:00:00,0.842752020106323,0.7973540464505,0.000679086518005145,0.116340255501154,0.00274188949088596,0,0.410836149678661,0.318713400900901,0.0595221904139535,0.123396130346232,0.669155074202182,0.375840900130789,0.198085404430256,0.828655988495086,0.523809523809522
2024-07-01 00:01:00,0.843823012082222,0.792181471366021,0.00125605476262606,0.093072204400923,0.00302535868132832,0,0.357707876355897,0.297429617117117,0.057956471692668,0.122799275854266,0.669133031222045,0.37584924394604,0.204673841204125,0.843151762732,0.523809523809522
2024-07-01 00:02:00,0.832838030304397,0.775070561043003,0.00183302300724698,0.0698041533006922,0.00275370070715439,0,0.347660915920607,0.294224380630631,0.0711821508065774,0.122215150486535,0.669134868137056,0.375847157992228,0.213051755600171,0.863149886930876,0.523809523809522
2024-07-01 00:03:00,0.818579919871098,0.711538812566596,0.00240999125186791,0.0465361022004615,0.00289712261898535,0,0.327299699794016,0.288065878378378,0.0996702702523395,0.120000282869427,0.607181235545775,0.461143895351869,0.223971518000773,0.88615971404454,0.523809523809522
2024-07-01 00:04:00,0.817748991963322,0.719299386455474,0.00298695949648883,0.0232680511002307,0.00298992503252302,0,0.290626790669391,0.272243806306306,0.0915530801866921,0.12102285584974,0.559022834690508,0.501123286128199,0.247725222697476,0.888056357402641,0.523809523809522
2024-07-01 00:05:00,0.799474866686517,0.700369974878671,0.00356392774110975,0,0.00305910501352384,0,0.26639647571205,0.244890202702703,0.0586547424359532,0.119052670287395,0.55902650852053,0.501114942312947,0.263809737584849,0.888160568576163,0.523809523809522
2024-07-01 00:06:00,0.785959369019759,0.650078261722716,0.00414089598573067,0,0.00303210794776742,0,0.384223565752127,0.286311936936937,0.0453809639121738,0.113526816021724,0.559030182350553,0.501123286128199,0.271252384930977,0.877906189101595,0.523809523809522
2024-07-01 00:07:00,0.770985714547418,0.665375234157705,0.00362519870514029,0,0.00278913435595968,0,0.309776825167185,0.26395411036036,0.00770419858090155,0.117502074375801,0.497758045228521,0.585702455376233,0.260234939082939,0.853718775727133,0.523809523809522
2024-07-01 00:08:00,0.754872986148194,0.656530860901767,0.00348733903607157,0,0.00283806653764318,0,0.12688672862348,0.124915540540541,0.00390600380151198,0.121477332729879,0.399422473920399,0.689169936399268,0.255381942279474,0.830146208276451,0.523809523809522
2024-07-01 00:09:00,0.747706608898175,0.671025251384411,0.00365243024470942,0,0.00291062115186355,0,0.129364221527626,0.118937218468468,0.00365223794943923,0.125452591083956,0.393733548129929,0.689925051679505,0.258019395360244,0.800842026282058,0.523809523809522
2024-07-01 00:10:00,0.736853416278477,0.664616574600762,0.0039775067483159,0,0.00286337628678983,0,0.131841714431772,0.112958896396396,0.00394581020968026,0.129427849438033,0.393759264940089,0.690150334691289,0.263022034891696,0.781427484654905,0.523809523809522
2024-07-01 00:11:00,0.730319462934573,0.677278773732354,0.00383539215118951,0,0.00291062115186355,0,0.304557885293582,0.235872747747748,0.00409840144099198,0.13340310779211,0.393728037384894,0.690260890243368,0.268596226509209,0.764826644712846,0.523809523809522
2024-07-01 00:12:00,0.717602082596804,0.650779879207708,0.00369327755406312,0,0.00287856213627781,0,0.361859305800808,0.277363457207207,0.147685091504981,0.137378366146187,0.393711505149791,0.689697682713909,0.260517597569137,0.760501881011682,0.523809523809522
2024-07-01 00:13:00,0.712504138917803,0.669038476018372,0.0036013711080173,0,0.00284650312069206,0,0.279717803033467,0.250822072072072,0.125501311952869,0.119523647884137,0.39370966823478,0.69010652966122,0.256009610388531,0.749757709021561,0.523809523809522
2024-07-01 00:14:00,0.694988758275443,0.637080084787336,0.00362009279147108,0,0.00292580700135154,0,0.239448102120153,0.204179335585586,0.114887928375003,0.115311722109074,0.393740895789975,0.690557095684787,0.256448146716381,0.74383851436551,0.523809523809522
2024-07-01 00:15:00,0.693349869865042,0.655933630408444,0.00365413221593249,0,0.00283806653764318,0,0.231930423044861,0.194600225225225,0.101708690070623,0.114468771215207,0.393707831319768,0.69054457996191,0.251056851766408,0.729874217113559,0.523809523809522
2024-07-01 00:16:00,0.674004205769358,0.632587451200507,0.00349925283463307,0,0.00288193676949736,0,0.2110730400993,0.170074605855856,0.0735788282983756,0.113095440144829,0.393713342064803,0.690607158576295,0.246156052424836,0.722141748038225,0.523809523809522
2024-07-01 00:17:00,0.669263350556153,0.634438466435304,0.00364562235981714,0,0.00285662702035072,0,0.163307377850244,0.118894988738739,0.0263087185985491,0.074949083503055,0.39395030410128,0.690619674299171,0.238299809205522,0.71407580320762,0.523809523809522
2024-07-01 00:18:00,0.662260479357088,0.647515931850696,0.0037000854389554,0,0.00279419630578901,0,0.178190711823973,0.129214527027027,0.0886206747849625,0.100186693822132,0.394187266137758,0.690684338867369,0.24648651344914,0.705520065861462,0.523809523809522
2024-07-01 00:19:00,0.640301452661034,0.602232512612002,0.00364562235981714,0,0.00253603686449329,0,0.185412695522303,0.134511542792793,0.0670920423672871,0.110569416157502,0.394405859024121,0.690728143897438,0.23934730830143,0.709896935149387,0.523809523809522
2024-07-01 00:20:00,0.621722735844491,0.57755326018258,0.00358775533823274,0,0.00284312848747252,0,0.171220988023502,0.120374436936937,0.0481889742883775,0.104074734102738,0.393996226976566,0.69070728435931,0.238657289055713,0.709136193582676,0.523809523809522
2024-07-01 00:21:00,0.606569170031802,0.559626077809949,0.00363541053247872,0,0.00260015489566477,0,0.133545721688838,0.103199605855856,0.00415976965358473,0.00335766010409595,0.37933764518517,0.712280218691397,0.247579736711934,0.699184026511322,0.523809523809522
2024-07-01 00:22:00,0.598627642857944,0.586309788647715,0.00354690802887905,0,0.00276888655664237,0,0.105767062207959,0.0982136824324324,0.0218371320809795,0.0236096967639738,0.338609565551231,0.750905825443213,0.266663341272711,0.689513229608479,0.523809523809522
2024-07-01 00:23:00,0.591634614832514,0.577594900895104,0.00349925283463307,0,0.00259340562922567,0,0.205020473146015,0.142733671171171,0.0342805047010262,0.259010805612129,0.41167286013178,0.67923453838885,0.270859572770012,0.682124657405767,0.523809523809522
2024-07-01 00:24:00,0.580908289784125,0.558582778313973,0.00321672561160336,0,0.00233524618792995,0,0.211134852127253,0.152436186186186,0.046723877321073,0.216322980312288,0.615309584471455,0.451360771969787,0.275055804267312,0.68199960399754,0.523809523809522
2024-07-01 00:25:00,0.566239773694501,0.551697229808818,0.00338522076268734,0,0.00209902186256131,0,0.21724923110849,0.162138701201201,0.0591672499411197,0.0855015274949084,0.669134868137056,0.375893048976109,0.270892826709564,0.67309996977876,0.523809523809522
2024-07-01 00:26:00,0.554140872766864,0.541449051162175,0.00343457792815639,0,0.00219182427609899,0,0.223363610089728,0.171841216216216,0.00315797504801648,0,0.669134868137056,0.375838814176976,0.25637540372361,0.660865578007274,0.523809523809522
2024-07-01 00:27:00,0.544165909972693,0.540430850177857,0.00341585624470261,0,0.00228462668963667,0,0.1647307250885,0.110425112612613,0.0512806053227802,0.0501202195066757,0.669134868137056,0.375840900130789,0.241070278044502,0.648933398639002,0.523809523809522
2024-07-01 00:28:00,0.532718025612485,0.526201705329783,0.00351457057564071,0,0.00247698078315113,0,0.180771781639823,0.119208896396396,0.084062841049695,0.25301255940258,0.669134868137056,0.375851329899853,0.231081625951374,0.645400639856606,0.523809523809522
2024-07-01 00:29:00,0.520417886468288,0.507917439586741,0.00331543994254145,0,0.00263727586107985,0,0.195648433232151,0.133845720720721,0.11684507677661,0.127274270196877,0.669134868137056,0.37584924394604,0.233685825092591,0.642326410237706,0.523809523809522
2024-07-01 00:30:00,0.508633967097005,0.501318242282778,0.00328820840297232,0,0.00268114609293402,0,0.182821602134353,0.123761261261261,0.0270169409438763,0.0594874405974202,0.669134868137056,0.375840900130789,0.243790865974153,0.636157108765202,0.523809523809522
2024-07-01 00:31:00,0.498303829787467,0.51077068402571,0.0031622625324651,0,0.00266427292683626,0,0.150151439468483,0.0997578828828829,0.00319612285584441,0,0.669134868137056,0.375840900130789,0.245405760413679,0.629727279358893,0.523809523809522
2024-07-01 00:32:00,0.485496220358034,0.495037910161018,0.00379369385622428,0,0.00260184221227455,0,0.162898081989479,0.104849380630631,0.0137597484235004,0.0211855057705363,0.619347123666629,0.496329764266359,0.247342802392621,0.62649673297971,0.523809523809522
2024-07-01 00:33:00,0.477010037576315,0.484373894809856,0.00375029359003598,0,0.00278238508952058,0,0.207371000803556,0.140520833333333,0.213864903685078,0.181244342611451,0.559030182350553,0.626178303160011,0.257776225927265,0.62323492324847,0.523809523809522
